record_id,institution_id,year,rating,overall_score,student_satisfaction_pct,graduate_outcome_pct,attendance_rate_pct
69,23,2024,Silver,73,91.8,78.2,
70,24,2022,Gold,91,73.0,90.4,
71,24,2023,Silver,72,80.4,92.1,
72,24,2024,Silver,71,74.6,85.7,
73,25,2022,Gold,96,76.7,71.6,
74,25,2023,Silver,84,73.3,62.9,
75,25,2024,Silver,84,88.4,63.8,
76,26,2022,Silver,84,90.0,61.7,
77,26,2023,Bronze,52,79.5,62.3,
78,26,2024,Silver,75,93.9,79.9,
79,27,2022,Gold,96,94.5,70.6,
80,27,2023,Silver,77,70.6,80.0,
81,27,2024,Gold,87,80.5,78.2,
82,28,2022,Gold,87,78.5,94.4,
83,28,2023,Silver,78,70.5,73.5,
84,28,2024,Silver,74,79.1,89.6,
85,29,2022,Gold,93,92.4,77.3,
86,29,2023,Gold,85,91.3,74.5,
87,29,2024,Bronze,56,74.9,67.1,
88,30,2022,Silver,65,79.0,66.3,
89,30,2023,Silver,78,88.6,92.4,
90,30,2024,Silver,82,83.7,90.0,
91,31,2022,Silver,82,70.4,88.0,
92,31,2023,Bronze,35,71.1,74.4,
93,31,2024,Silver,75,78.1,94.4,
94,32,2022,Gold,97,84.3,67.4,
95,32,2023,Silver,66,91.1,91.2,
96,32,2024,Silver,79,88.9,83.5,
97,33,2022,Silver,68,72.0,82.4,
98,33,2023,Silver,71,84.2,81.9,
99,33,2024,Silver,83,71.8,73.9,
100,34,2022,Silver,80,81.0,60.9,
101,34,2023,Bronze,56,73.9,94.4,
102,34,2024,Bronze,55,86.9,89.8,
103,35,2022,Silver,66,76.5,94.8,
104,35,2023,Silver,69,84.7,61.1,
105,35,2024,Silver,81,84.7,65.0,
106,36,2022,Silver,82,90.7,71.4,
107,36,2023,Silver,71,85.2,88.7,
108,36,2024,Silver,71,82.0,67.5,
109,37,2022,Silver,67,73.8,72.9,
110,37,2023,Silver,82,80.2,82.5,
111,37,2024,Silver,76,75.1,62.2,
112,38,2022,Silver,79,93.7,62.7,
113,38,2023,Gold,85,88.1,72.2,
114,38,2024,Silver,73,70.4,62.0,
115,39,2022,Gold,88,76.1,89.6,
116,39,2023,Silver,80,92.0,60.1,
117,39,2024,Bronze,61,90.5,70.7,
118,40,2022,Silver,69,87.1,83.3,
119,40,2023,Silver,68,70.2,85.4,
120,40,2024,Silver,75,74.1,71.4,
121,41,2022,Silver,83,79.6,71.3,
122,41,2023,Silver,67,76.8,63.5,
123,41,2024,Gold,99,71.5,91.9,
124,42,2022,Gold,91,86.5,64.2,
125,42,2023,Gold,93,72.7,88.2,
126,42,2024,Gold,88,92.1,70.8,
127,43,2022,Bronze,50,76.3,84.6,
128,43,2023,Silver,75,93.2,64.7,
129,43,2024,Silver,67,73.3,73.6,
130,44,2022,Silver,83,77.5,63.1,
131,44,2023,Silver,66,70.0,62.2,
132,44,2024,Silver,72,94.4,60.8,
133,45,2022,Silver,83,90.6,71.8,
134,45,2023,Silver,77,86.3,91.7,
135,45,2024,Gold,91,79.7,70.8,
136,46,2022,Silver,74,77.0,91.2,
137,46,2023,Gold,85,88.7,69.2,
138,46,2024,Silver,66,77.8,67.0,
139,47,2022,Silver,83,89.5,60.5,
140,47,2023,Silver,76,70.2,86.7,
141,47,2024,Bronze,53,74.0,82.4,
142,48,2022,Silver,72,79.9,71.6,
143,48,2023,Silver,70,72.1,84.5,
144,48,2024,Silver,79,77.2,92.4,
145,49,2022,Bronze,56,84.6,92.1,
146,49,2023,Bronze,59,92.6,80.0,
147,49,2024,Silver,67,79.3,71.8,
148,50,2022,Silver,83,78.9,94.1,
149,50,2023,Silver,84,80.6,68.6,
150,50,2024,Silver,69,72.4,66.9,
151,51,2022,Silver,69,76.6,78.4,
152,51,2023,Bronze,50,84.2,62.1,
153,51,2024,Gold,89,85.4,82.5,
154,52,2022,Silver,70,79.6,87.1,
155,52,2023,Silver,72,88.0,65.1,
156,52,2024,Silver,75,91.0,78.0,
157,53,2022,Gold,92,72.7,72.7,
158,53,2023,Silver,77,73.4,73.1,
159,53,2024,Gold,86,92.1,69.8,
160,54,2022,Gold,85,70.4,64.0,
161,54,2023,Gold,98,77.6,70.8,
162,54,2024,Gold,92,81.6,76.7,
163,55,2022,Silver,65,94.1,73.0,
164,55,2023,Silver,84,73.5,64.7,
165,55,2024,Silver,80,70.6,83.1,
166,56,2022,Silver,74,84.1,74.0,
167,56,2023,Bronze,60,85.3,85.8,
168,56,2024,Silver,79,87.4,72.3,
169,57,2022,Silver,78,86.2,70.7,
170,57,2023,Gold,96,70.4,75.7,
171,57,2024,Silver,74,85.5,73.3,
172,58,2022,Gold,99,87.7,66.7,
173,58,2023,Silver,81,70.7,61.4,
174,58,2024,Gold,88,85.4,69.9,
175,59,2022,Silver,76,85.9,64.5,
176,59,2023,Gold,89,92.1,87.6,
177,59,2024,Silver,65,88.3,65.0,
178,60,2022,Bronze,56,93.3,85.4,
179,60,2023,Silver,69,75.3,79.3,
180,60,2024,Silver,72,75.3,74.2,
181,61,2022,Bronze,22,80.8,74.2,
182,61,2023,Bronze,60,77.7,70.8,
183,61,2024,Bronze,63,82.2,77.1,
184,62,2022,Gold,95,92.4,87.7,
185,62,2023,Gold,100,83.6,75.9,
186,62,2024,Silver,66,92.8,77.3,
187,63,2022,Silver,76,93.4,78.1,
188,63,2023,Gold,97,77.5,67.4,
189,63,2024,Bronze,54,78.5,77.8,
190,64,2022,Silver,74,87.8,85.9,
191,64,2023,Bronze,59,71.7,69.8,
192,64,2024,Silver,80,78.7,60.9,
193,65,2022,Silver,76,86.2,76.1,
194,65,2023,Gold,100,83.2,82.1,
195,65,2024,Silver,66,73.9,77.1,
196,66,2022,Silver,81,85.1,65.9,
197,66,2023,Silver,72,81.0,88.9,
198,66,2024,Silver,78,93.9,70.0,
199,67,2022,Silver,77,89.6,85.7,
200,67,2023,Gold,87,80.2,78.4,
201,67,2024,Silver,79,86.1,70.4,
202,68,2022,Silver,74,84.7,75.3,
203,68,2023,Silver,74,79.4,64.4,
204,68,2024,Bronze,52,86.1,82.4,
205,69,2022,Silver,81,72.6,74.5,
206,69,2023,Silver,74,73.0,67.5,
207,69,2024,Silver,76,78.6,75.3,
208,70,2022,Silver,65,88.1,81.0,
209,70,2023,Silver,80,92.3,82.5,
210,70,2024,Silver,76,78.4,67.4,
211,71,2022,Bronze,22,82.1,63.6,
212,71,2023,Bronze,48,73.8,66.0,
213,71,2024,Silver,70,72.7,66.4,
214,72,2022,Silver,76,79.5,84.2,
215,72,2023,Silver,76,79.2,87.6,
216,72,2024,Bronze,50,78.2,89.3,
217,73,2022,Silver,74,85.9,72.4,
218,73,2023,Silver,77,77.7,65.4,
219,73,2024,Bronze,53,75.4,70.8,
220,74,2022,Silver,69,89.6,60.8,
221,74,2023,Gold,93,71.8,74.6,
222,74,2024,Bronze,57,71.0,65.7,
223,75,2022,Silver,66,93.8,90.7,
224,75,2023,Gold,93,82.8,74.7,
225,75,2024,Silver,79,93.8,75.4,
226,76,2022,Silver,66,84.3,94.7,
227,76,2023,Bronze,43,84.3,73.6,
228,76,2024,Silver,84,74.9,66.3,
229,77,2022,Silver,65,80.6,72.2,
230,77,2023,Silver,83,79.7,82.0,
231,77,2024,Silver,75,92.9,78.2,
232,78,2022,Silver,76,73.2,73.9,
233,78,2023,Silver,73,71.8,91.7,
234,78,2024,Gold,86,89.9,83.7,
235,79,2022,Gold,97,82.3,86.1,
236,79,2023,Silver,78,73.6,93.1,
237,79,2024,Gold,96,73.0,93.7,
238,80,2022,Silver,68,85.1,76.5,
239,80,2023,Silver,83,80.2,71.8,
240,80,2024,Silver,72,72.0,69.5,
241,81,2022,Silver,73,92.5,66.3,
242,81,2023,Silver,66,92.6,67.6,
243,81,2024,Silver,66,93.3,76.0,
244,82,2022,Gold,99,76.3,92.6,
245,82,2023,Silver,75,92.8,79.8,
246,82,2024,Silver,80,93.3,65.8,
247,83,2022,Silver,66,72.1,87.1,
248,83,2023,Bronze,42,86.0,83.4,
249,83,2024,Silver,71,92.6,86.7,
250,84,2022,Good,68,67.8,83.2,80.6
251,84,2023,Good,83,69.1,62.3,84.0
252,84,2024,Requires Improvement,50,69.0,71.3,86.0
253,85,2022,Good,81,86.7,68.9,84.4
254,85,2023,Outstanding,93,79.9,76.3,89.9
255,85,2024,Good,73,87.8,87.4,92.8
256,86,2022,Good,77,84.5,67.8,91.4
257,86,2023,Outstanding,92,70.3,75.6,88.4
258,86,2024,Outstanding,94,83.1,57.7,86.9
259,87,2022,Good,66,73.4,78.4,81.3
260,87,2023,Outstanding,98,82.9,77.7,97.8
261,87,2024,Good,67,80.8,56.6,94.3
262,88,2022,Outstanding,99,88.4,60.8,91.9
263,88,2023,Good,66,73.9,62.2,87.4
264,88,2024,Good,70,71.4,70.8,83.4
265,89,2022,Good,77,83.0,82.0,97.7
266,89,2023,Good,65,72.9,81.6,96.0
267,89,2024,Requires Improvement,47,80.8,56.1,87.3
268,90,2022,Good,72,69.8,61.5,87.3
269,90,2023,Good,68,67.1,72.2,86.1
270,90,2024,Outstanding,90,83.4,61.2,97.4
271,91,2022,Outstanding,94,90.5,81.7,82.4
272,91,2023,Good,69,89.9,63.6,84.6
273,91,2024,Good,75,86.3,71.7,96.7
274,92,2022,Outstanding,97,75.1,72.0,82.9
275,92,2023,Good,76,87.7,86.4,89.4
276,92,2024,Requires Improvement,52,76.8,55.5,90.5
277,93,2022,Good,74,66.3,62.0,94.6
278,93,2023,Outstanding,91,75.6,77.2,86.3
279,93,2024,Good,70,88.0,69.5,87.3
280,94,2022,Good,65,79.6,55.8,90.6
281,94,2023,Good,72,66.4,56.7,94.6
282,94,2024,Good,76,65.4,62.1,87.4
283,95,2022,Good,73,77.7,55.2,82.8
284,95,2023,Outstanding,92,77.2,58.0,82.6
285,95,2024,Outstanding,100,72.8,83.8,89.0
286,96,2022,Good,83,69.7,60.0,87.3
287,96,2023,Good,81,81.8,85.6,85.9
288,96,2024,Outstanding,98,85.0,59.4,84.4
289,97,2022,Good,72,90.4,80.6,95.7
290,97,2023,Good,69,85.3,56.0,88.5
291,97,2024,Good,81,67.3,89.7,94.9
292,98,2022,Good,68,82.0,78.3,96.6
293,98,2023,Good,65,80.9,72.7,93.5
294,98,2024,Good,82,84.5,64.2,91.2
295,99,2022,Good,70,76.8,89.8,94.0
296,99,2023,Good,69,70.0,67.6,84.7
297,99,2024,Good,72,86.5,79.1,92.8
298,100,2022,Good,70,89.2,58.6,85.7
299,100,2023,Good,69,73.6,82.2,87.1
300,100,2024,Requires Improvement,51,86.0,61.5,96.8
301,101,2022,Good,76,67.6,79.7,87.1
302,101,2023,Good,67,76.4,74.1,83.1
303,101,2024,Requires Improvement,63,86.1,85.8,84.0
304,102,2022,Good,78,87.0,55.2,93.2
305,102,2023,Good,79,73.7,60.2,90.3
306,102,2024,Good,74,89.5,71.8,97.6
307,103,2022,Outstanding,87,70.7,86.4,91.9
308,103,2023,Good,71,84.9,59.2,92.8
309,103,2024,Good,77,73.9,67.8,81.0
310,104,2022,Good,71,76.7,79.3,95.4
311,104,2023,Good,67,91.2,71.0,93.3
312,104,2024,Good,76,74.6,76.7,93.5
313,105,2022,Outstanding,97,92.0,69.4,88.0
314,105,2023,Outstanding,90,68.7,68.2,97.7
315,105,2024,Good,83,86.4,67.2,81.9
316,106,2022,Good,79,83.0,80.8,83.5
317,106,2023,Good,69,73.0,58.6,87.5
318,106,2024,Good,68,78.4,71.4,84.9
319,107,2022,Requires Improvement,49,69.9,58.5,83.3
320,107,2023,Good,68,86.9,82.8,95.1
321,107,2024,Outstanding,87,83.0,85.6,92.3
322,108,2022,Outstanding,92,71.9,62.1,88.2
323,108,2023,Outstanding,90,81.0,67.8,84.3
324,108,2024,Good,65,78.7,62.2,83.0
325,109,2022,Outstanding,94,73.5,80.8,85.8
326,109,2023,Requires Improvement,55,82.6,80.6,97.7
327,109,2024,Good,72,66.8,70.4,81.4
328,110,2022,Good,67,89.1,68.3,96.7
329,110,2023,Outstanding,96,72.1,77.0,92.6
330,110,2024,Requires Improvement,51,71.6,77.4,89.1
331,111,2022,Requires Improvement,55,73.2,72.0,87.4
332,111,2023,Good,69,83.6,60.1,87.2
333,111,2024,Good,83,90.6,75.7,93.1
334,112,2022,Good,82,83.6,61.1,89.2
335,112,2023,Good,79,68.2,74.5,90.3
336,112,2024,Good,68,85.4,78.2,89.3
337,113,2022,Outstanding,90,75.0,65.3,90.9
338,113,2023,Outstanding,94,73.7,80.5,86.1
339,113,2024,Good,81,91.1,58.9,84.0
340,114,2022,Good,74,87.9,57.9,81.8
341,114,2023,Good,75,72.4,62.9,92.3
342,114,2024,Good,72,75.3,57.7,89.0
343,115,2022,Good,65,76.3,81.4,95.4
344,115,2023,Requires Improvement,47,69.7,70.9,89.5
345,115,2024,Good,74,88.1,78.2,87.0
346,116,2022,Good,69,91.7,69.9,97.7
347,116,2023,Requires Improvement,53,67.4,70.1,91.0
348,116,2024,Outstanding,88,82.4,86.1,89.9
349,117,2022,Requires Improvement,59,73.5,79.1,90.0
350,117,2023,Good,80,91.0,55.5,94.0
351,117,2024,Outstanding,89,82.2,67.1,95.8
352,118,2022,Good,75,73.8,55.0,87.0
353,118,2023,Outstanding,88,73.0,63.2,95.2
354,118,2024,Requires Improvement,53,66.3,76.1,88.4
355,119,2022,Good,80,74.1,67.1,87.5
356,119,2023,Good,66,80.7,58.1,82.3
357,119,2024,Requires Improvement,46,81.6,68.7,87.4
358,120,2022,Good,71,78.8,77.6,82.9
359,120,2023,Good,70,70.1,87.9,82.7
360,120,2024,Good,78,78.1,62.6,94.8
361,121,2022,Good,76,79.5,78.9,86.6
362,121,2023,Good,84,77.5,82.1,87.4
363,121,2024,Good,81,90.1,79.6,91.8
364,122,2022,Outstanding,95,84.2,79.4,84.9
365,122,2023,Good,78,70.3,69.2,89.0
366,122,2024,Outstanding,99,86.9,88.8,87.9
367,123,2022,Requires Improvement,55,81.1,66.6,97.6
368,123,2023,Good,76,86.8,69.9,90.2
369,123,2024,Good,81,86.0,59.5,84.7
370,124,2022,Good,66,81.4,80.6,92.7
371,124,2023,Good,75,83.8,64.7,88.0
372,124,2024,Good,84,73.1,62.7,85.6
373,125,2022,Good,68,72.1,86.9,86.4
374,125,2023,Good,66,80.7,71.2,87.0
375,125,2024,Good,69,79.9,88.3,88.9
376,126,2022,Outstanding,85,90.6,68.0,93.4
377,126,2023,Good,79,91.8,82.7,83.6
378,126,2024,Good,79,76.6,87.7,94.4
379,127,2022,Good,79,86.3,78.1,87.9
380,127,2023,Good,80,73.7,78.3,80.0
381,127,2024,Outstanding,96,85.7,88.8,81.8
382,128,2022,Requires Improvement,45,78.2,83.9,97.4
383,128,2023,Good,78,67.8,80.4,84.9
384,128,2024,Good,67,78.5,73.0,90.1
385,129,2022,Outstanding,89,87.2,58.1,92.6
386,129,2023,Good,65,69.8,79.1,80.8
387,129,2024,Good,67,73.2,64.0,92.1
388,130,2022,Good,70,81.7,56.9,86.3
389,130,2023,Good,69,71.5,72.6,92.5
390,130,2024,Outstanding,100,74.3,79.6,85.3
391,131,2022,Good,82,72.6,59.8,86.9
392,131,2023,Outstanding,92,86.0,84.8,90.0
393,131,2024,Requires Improvement,58,74.3,75.0,80.8
394,132,2022,Good,82,70.4,56.9,82.5
395,132,2023,Outstanding,86,68.2,82.8,87.3
396,132,2024,Good,73,82.9,80.9,94.5
397,133,2022,Outstanding,96,82.2,74.8,95.7
398,133,2023,Good,68,91.1,78.9,93.3
399,133,2024,Good,71,70.5,80.1,91.7
400,134,2022,Requires Improvement,46,90.8,79.6,96.5
401,134,2023,Good,82,84.4,60.3,97.6
402,134,2024,Good,82,69.3,83.0,92.1
403,135,2022,Requires Improvement,51,80.4,88.7,81.2
404,135,2023,Requires Improvement,59,91.8,78.3,82.0
405,135,2024,Outstanding,85,79.7,88.2,81.1
406,136,2022,Requires Improvement,52,89.8,74.5,96.0
407,136,2023,Inadequate,41,78.0,55.2,92.2
408,136,2024,Good,76,77.1,85.9,84.3
409,137,2022,Good,74,72.3,57.2,81.3
410,137,2023,Good,71,74.4,86.8,88.1
411,137,2024,Outstanding,97,71.7,89.3,92.6
412,138,2022,Outstanding,85,82.9,63.1,92.6
413,138,2023,Requires Improvement,49,66.6,57.5,91.4
414,138,2024,Good,73,73.7,76.3,90.8
415,139,2022,Outstanding,91,81.8,67.8,88.6
416,139,2023,Good,77,81.6,76.5,84.2
417,139,2024,Requires Improvement,47,65.7,84.8,88.7
418,140,2022,Good,81,70.0,68.4,97.8
419,140,2023,Good,74,79.6,56.8,83.2
420,140,2024,Good,77,75.6,76.6,92.7
421,141,2022,Good,82,74.8,67.1,86.0
422,141,2023,Outstanding,87,65.0,87.3,97.7
423,141,2024,Good,76,83.3,65.6,85.5
424,142,2022,Good,80,81.1,55.1,84.9
425,142,2023,Good,82,88.1,71.3,97.5
426,142,2024,Good,70,67.8,77.8,88.2
427,143,2022,Good,66,68.6,82.2,93.5
428,143,2023,Good,81,71.5,57.6,97.3
429,143,2024,Good,65,83.7,58.7,80.9
430,144,2022,Good,69,78.7,57.4,97.8
431,144,2023,Requires Improvement,64,77.3,75.8,94.7
432,144,2024,Good,76,88.9,59.0,87.8
433,145,2022,Good,66,78.3,76.3,93.9
434,145,2023,Requires Improvement,51,70.6,55.8,83.3
435,145,2024,Good,79,75.5,70.3,89.6
436,146,2022,Good,68,89.5,72.1,87.5
437,146,2023,Outstanding,91,70.8,67.8,96.0
438,146,2024,Good,70,82.3,88.1,97.3
439,147,2022,Requires Improvement,57,69.3,75.3,83.1
440,147,2023,Requires Improvement,55,87.8,56.2,96.1
441,147,2024,Good,74,67.0,65.4,86.6
442,148,2022,Good,79,76.5,61.9,88.1
443,148,2023,Good,70,74.4,69.6,85.3
444,148,2024,Good,82,76.6,65.9,89.0
445,149,2022,Good,76,89.3,66.3,88.9
446,149,2023,Good,75,68.2,69.2,86.6
447,149,2024,Good,77,77.5,80.5,90.5
448,150,2022,Requires Improvement,55,66.8,68.1,91.5
449,150,2023,Good,69,88.6,84.5,87.4
450,150,2024,Good,74,88.6,69.9,86.8
451,151,2022,Good,84,74.6,84.7,89.8
452,151,2023,Good,74,83.6,69.3,80.1
453,151,2024,Requires Improvement,57,71.0,79.6,94.7
454,152,2022,Outstanding,96,65.9,65.4,87.5
455,152,2023,Good,75,65.0,83.0,91.5
456,152,2024,Outstanding,90,69.9,61.1,83.3
457,153,2022,Good,72,80.1,61.1,94.7
458,153,2023,Good,73,83.9,68.4,97.8
459,153,2024,Good,80,75.2,66.3,92.9
460,154,2022,Requires Improvement,54,78.8,64.2,95.4
461,154,2023,Good,75,83.1,59.6,90.8
462,154,2024,Good,76,85.4,74.6,84.3
463,155,2022,Inadequate,30,71.0,77.1,95.6
464,155,2023,Good,74,80.4,77.0,90.9
465,155,2024,Good,67,76.7,67.2,97.0
466,156,2022,Requires Improvement,64,84.2,60.0,89.9
467,156,2023,Good,75,67.1,89.7,90.3
468,156,2024,Outstanding,87,78.4,65.6,90.4
469,157,2022,Good,67,,,86.7
470,157,2023,Good,84,,,90.9
471,157,2024,Good,65,,,92.9
472,158,2022,Good,68,,,98.0
473,158,2023,Outstanding,85,,,88.9
474,158,2024,Inadequate,30,,,93.5
475,159,2022,Good,68,,,93.7
476,159,2023,Good,73,,,85.9
477,159,2024,Good,76,,,93.6
478,160,2022,Good,81,,,87.9
479,160,2023,Requires Improvement,54,,,90.0
480,160,2024,Good,70,,,86.2
481,161,2022,Good,70,,,85.2
482,161,2023,Good,74,,,96.4
483,161,2024,Requires Improvement,50,,,92.6
484,162,2022,Requires Improvement,58,,,89.5
485,162,2023,Good,79,,,92.7
486,162,2024,Outstanding,95,,,85.5
487,163,2022,Good,68,,,89.7
488,163,2023,Requires Improvement,64,,,85.7
489,163,2024,Good,76,,,96.7
490,164,2022,Good,65,,,98.8
491,164,2023,Requires Improvement,63,,,98.9
492,164,2024,Good,65,,,98.8
493,165,2022,Good,67,,,97.7
494,165,2023,Good,73,,,86.6
495,165,2024,Good,68,,,87.4
496,166,2022,Good,82,,,87.9
497,166,2023,Good,75,,,98.7
498,166,2024,Good,83,,,96.6
499,167,2022,Good,70,,,91.8
500,167,2023,Good,78,,,93.2
501,167,2024,Good,69,,,90.8
502,168,2022,Good,68,,,96.5
503,168,2023,Good,73,,,93.4
504,168,2024,Good,65,,,96.9
505,169,2022,Good,80,,,90.9
506,169,2023,Outstanding,90,,,95.0
507,169,2024,Good,67,,,94.2
508,170,2022,Outstanding,93,,,90.1
509,170,2023,Good,77,,,93.2
510,170,2024,Good,80,,,87.9
511,171,2022,Good,73,,,97.3
512,171,2023,Good,78,,,87.8
513,171,2024,Good,83,,,97.1
514,172,2022,Good,73,,,93.3
515,172,2023,Outstanding,100,,,97.5
516,172,2024,Good,65,,,86.6
517,173,2022,Good,67,,,86.7
518,173,2023,Good,80,,,93.5
519,173,2024,Requires Improvement,50,,,87.9
520,174,2022,Outstanding,92,,,87.3
521,174,2023,Outstanding,99,,,85.2
522,174,2024,Good,68,,,87.0
523,175,2022,Good,84,,,90.8
524,175,2023,Good,81,,,91.8
525,175,2024,Good,66,,,96.8
526,176,2022,Good,71,,,94.5
527,176,2023,Outstanding,86,,,96.6
528,176,2024,Requires Improvement,50,,,97.3
529,177,2022,Good,81,,,89.1
530,177,2023,Good,72,,,97.1
531,177,2024,Outstanding,100,,,92.2
532,178,2022,Requires Improvement,62,,,86.4
533,178,2023,Requires Improvement,63,,,89.9
534,178,2024,Outstanding,86,,,96.2
535,179,2022,Inadequate,41,,,97.2
536,179,2023,Inadequate,38,,,85.2
537,179,2024,Good,70,,,92.2
538,180,2022,Outstanding,93,,,95.7
539,180,2023,Good,68,,,92.5
540,180,2024,Good,72,,,96.9
541,181,2022,Good,72,,,91.9
542,181,2023,Good,71,,,88.6
543,181,2024,Good,66,,,96.8
544,182,2022,Good,80,,,93.0
545,182,2023,Good,67,,,92.0
546,182,2024,Good,76,,,92.3
547,183,2022,Good,81,,,87.3
548,183,2023,Outstanding,87,,,93.8
549,183,2024,Good,69,,,93.6
550,184,2022,Requires Improvement,60,,,93.6
551,184,2023,Good,74,,,90.7
552,184,2024,Outstanding,97,,,98.3
553,185,2022,Outstanding,86,,,90.8
554,185,2023,Outstanding,89,,,98.2
555,185,2024,Good,73,,,85.1
556,186,2022,Good,77,,,91.1
557,186,2023,Good,75,,,94.3
558,186,2024,Good,69,,,96.6
559,187,2022,Outstanding,92,,,97.4
560,187,2023,Good,68,,,86.5
561,187,2024,Good,84,,,90.3
562,188,2022,Requires Improvement,63,,,89.6
563,188,2023,Good,83,,,86.2
564,188,2024,Good,74,,,92.1
565,189,2022,Good,83,,,88.6
566,189,2023,Good,83,,,88.9
567,189,2024,Good,69,,,89.9
568,190,2022,Good,69,,,94.2
569,190,2023,Good,74,,,91.9
570,190,2024,Good,74,,,98.9
571,191,2022,Good,79,,,96.7
572,191,2023,Good,83,,,88.6
573,191,2024,Outstanding,93,,,96.4
574,192,2022,Good,74,,,89.2
575,192,2023,Good,76,,,91.8
576,192,2024,Good,74,,,95.3
577,193,2022,Outstanding,89,,,94.8
578,193,2023,Good,81,,,92.5
579,193,2024,Good,74,,,90.3
580,194,2022,Requires Improvement,62,,,93.5
581,194,2023,Requires Improvement,53,,,88.3
582,194,2024,Outstanding,94,,,87.2
583,195,2022,Good,84,,,86.4
584,195,2023,Good,84,,,93.6
585,195,2024,Good,73,,,92.4
586,196,2022,Good,80,,,91.8
587,196,2023,Requires Improvement,49,,,95.5
588,196,2024,Inadequate,43,,,86.7
589,197,2022,Good,69,,,87.3
590,197,2023,Outstanding,95,,,98.6
591,197,2024,Inadequate,20,,,95.0
592,198,2022,Requires Improvement,51,,,88.9
593,198,2023,Outstanding,94,,,91.6
594,198,2024,Outstanding,99,,,97.8
595,199,2022,Outstanding,94,,,97.8
596,199,2023,Good,76,,,88.0
597,199,2024,Good,66,,,97.0
598,200,2022,Good,72,,,93.3
599,200,2023,Requires Improvement,62,,,94.3
600,200,2024,Good,80,,,98.1
601,201,2022,Good,76,,,87.2
602,201,2023,Inadequate,36,,,89.8
603,201,2024,Good,79,,,90.1
604,202,2022,Good,82,,,97.5
605,202,2023,Good,78,,,98.2
606,202,2024,Outstanding,87,,,92.4
607,203,2022,Good,76,,,97.3
608,203,2023,Good,82,,,92.3
609,203,2024,Good,83,,,94.9
610,204,2022,Good,67,,,92.4
611,204,2023,Requires Improvement,64,,,93.7
612,204,2024,Outstanding,88,,,92.0
613,205,2022,Requires Improvement,62,,,88.3
614,205,2023,Outstanding,85,,,90.8
615,205,2024,Outstanding,95,,,89.8
