institution_id,name,category,region_id,region_name,city,postcode,founded_year,website
45,University of Plymouth,University,9,South West England,Plymouth,PL36 8HX,1853,https://www.universityofplymouth.ac.uk
46,Bath Spa University,University,9,South West England,Bath,BA93 8JU,1924,https://www.bathspauniversity.ac.uk
47,University of the West of England,University,9,South West England,Bristol,BS25 2ES,1910,https://www.universityofthewestofengl.ac.uk
48,Bournemouth University,University,9,South West England,Bournemouth,BH55 7TB,1992,https://www.bournemouthuniversity.ac.uk
49,University of Southampton,University,8,South East England,Southampton,SO84 2BR,2006,https://www.universityofsouthampton.ac.uk
50,University of Reading,University,8,South East England,Reading,RG44 2JH,1868,https://www.universityofreading.ac.uk
51,University of Sussex,University,8,South East England,Brighton,BN69 8FS,1866,https://www.universityofsussex.ac.uk
52,University of Brighton,University,8,South East England,Brighton,BN36 8JD,1933,https://www.universityofbrighton.ac.uk
53,University of Portsmouth,University,8,South East England,Portsmouth,PO71 2BX,1823,https://www.universityofportsmouth.ac.uk
54,University of Kent,University,8,South East England,Canterbury,CT12 4GS,1944,https://www.universityofkent.ac.uk
55,Oxford Brookes University,University,8,South East England,Oxford,OX62 4RB,1268,https://www.oxfordbrookesuniversity.ac.uk
56,University of Surrey,University,8,South East England,Reading,RG49 1RL,1936,https://www.universityofsurrey.ac.uk
57,Anglia Ruskin University,University,6,East of England,Cambridge,CB37 7XU,1859,https://www.angliaruskinuniversity.ac.uk
58,University of East Anglia,University,6,East of England,Norwich,NR25 5HB,1968,https://www.universityofeastanglia.ac.uk
59,University of Essex,University,6,East of England,Colchester,CO95 9BP,1834,https://www.universityofessex.ac.uk
60,University of Hertfordshire,University,6,East of England,Luton,LU7 8WW,1860,https://www.universityofhertfordshire.ac.uk
61,Newcastle University,University,1,North East England,Newcastle upon Tyne,NE8 9DG,1837,https://www.newcastleuniversity.ac.uk
62,Durham University,University,1,North East England,Durham,DH77 2JR,1850,https://www.durhamuniversity.ac.uk
63,Northumbria University,University,1,North East England,Newcastle upon Tyne,NE73 4YZ,1830,https://www.northumbriauniversity.ac.uk
64,Teesside University,University,1,North East England,Middlesbrough,TS80 2SY,1964,https://www.teessideuniversity.ac.uk
65,University of Edinburgh,University,10,Scotland,Edinburgh,EH67 6LH,1991,https://www.universityofedinburgh.ac.uk
66,University of Glasgow,University,10,Scotland,Glasgow,G92 6JL,1921,https://www.universityofglasgow.ac.uk
67,University of St Andrews,University,10,Scotland,Edinburgh,EH17 5TP,1838,https://www.universityofstandrews.ac.uk
68,University of Aberdeen,University,10,Scotland,Aberdeen,AB2 8ZY,1845,https://www.universityofaberdeen.ac.uk
69,University of Dundee,University,10,Scotland,Dundee,DD10 9HW,1887,https://www.universityofdundee.ac.uk
70,University of Stirling,University,10,Scotland,Stirling,FK17 6DJ,1914,https://www.universityofstirling.ac.uk
71,Heriot-Watt University,University,10,Scotland,Edinburgh,EH37 3TX,2000,https://www.heriot-wattuniversity.ac.uk
72,University of Strathclyde,University,10,Scotland,Glasgow,G39 9AX,1896,https://www.universityofstrathclyde.ac.uk
73,Edinburgh Napier University,University,10,Scotland,Edinburgh,EH85 2FL,1849,https://www.edinburghnapieruniversity.ac.uk
74,Glasgow Caledonian University,University,10,Scotland,Glasgow,G14 9FL,1892,https://www.glasgowcaledonianuniversi.ac.uk
75,Robert Gordon University,University,10,Scotland,Aberdeen,AB78 4PH,1995,https://www.robertgordonuniversity.ac.uk
76,Cardiff University,University,11,Wales,Cardiff,CF82 5WU,1884,https://www.cardiffuniversity.ac.uk
77,Swansea University,University,11,Wales,Swansea,SA7 2SL,1831,https://www.swanseauniversity.ac.uk
78,Aberystwyth University,University,11,Wales,Aberystwyth,SY1 6FL,1861,https://www.aberystwythuniversity.ac.uk
79,Bangor University,University,11,Wales,Bangor,LL95 8XS,1963,https://www.bangoruniversity.ac.uk
80,Cardiff Metropolitan University,University,11,Wales,Cardiff,CF2 2DF,1959,https://www.cardiffmetropolitanuniver.ac.uk
81,University of South Wales,University,11,Wales,Newport,NP5 6YX,1857,https://www.universityofsouthwales.ac.uk
82,Queen's University Belfast,University,12,Northern Ireland,Belfast,BT56 3BN,1913,https://www.queensuniversitybelfast.ac.uk
83,Ulster University,University,12,Northern Ireland,Belfast,BT6 6HJ,1990,https://www.ulsteruniversity.ac.uk
84,City of Bristol College,College,9,South West England,Bristol,BS14 6XS,1979,https://www.cityofbristolcollege.ac.uk
85,Bath College,College,9,South West England,Bath,BA96 3JG,2002,https://www.bathcollege.ac.uk
86,Exeter College,College,9,South West England,Exeter,EX23 7AG,1994,https://www.exetercollege.ac.uk
87,Plymouth College of Art,College,9,South West England,Plymouth,PL43 7JL,1920,https://www.plymouthcollegeofart.ac.uk
88,South Devon College,College,9,South West England,Plymouth,PL90 2RB,2009,https://www.southdevoncollege.ac.uk
89,Gloucestershire College,College,9,South West England,Gloucester,GL61 4HT,1944,https://www.gloucestershirecollege.ac.uk
90,Cornwall College,College,9,South West England,Plymouth,PL40 4JA,1984,https://www.cornwallcollege.ac.uk
91,New College Swindon,College,9,South West England,Bristol,BS25 7PL,2010,https://www.newcollegeswindon.ac.uk
92,Manchester College,College,2,North West England,Manchester,M9 5QW,1951,https://www.manchestercollege.ac.uk
93,Liverpool City College,College,2,North West England,Liverpool,L87 9PA,1914,https://www.liverpoolcitycollege.ac.uk
94,Preston College,College,2,North West England,Preston,PR34 3YL,1904,https://www.prestoncollege.ac.uk
95,Blackpool and The Fylde College,College,2,North West England,Blackpool,FY14 7QP,1955,https://www.blackpoolandthefyldecolle.ac.uk
96,Bolton College,College,2,North West England,Bolton,BL78 9ER,2015,https://www.boltoncollege.ac.uk
97,Salford City College,College,2,North West England,Manchester,M74 4LB,1990,https://www.salfordcitycollege.ac.uk
98,Lancaster and Morecambe College,College,2,North West England,Lancaster,LA56 1WX,1987,https://www.lancasterandmorecambecoll.ac.uk
99,Leeds City College,College,3,Yorkshire and the Humber,Leeds,LS93 4QS,1908,https://www.leedscitycollege.ac.uk
100,Sheffield College,College,3,Yorkshire and the Humber,Sheffield,S86 6ZP,1984,https://www.sheffieldcollege.ac.uk
101,Bradford College,College,3,Yorkshire and the Humber,Bradford,BD16 5WN,1985,https://www.bradfordcollege.ac.uk
102,York College,College,3,Yorkshire and the Humber,York,YO53 6RN,1970,https://www.yorkcollege.ac.uk
103,Doncaster College,College,3,Yorkshire and the Humber,Doncaster,DN17 4SR,1986,https://www.doncastercollege.ac.uk
104,Hull College,College,3,Yorkshire and the Humber,Hull,HU96 3ZY,1938,https://www.hullcollege.ac.uk
105,Birmingham Metropolitan College,College,5,West Midlands,Birmingham,B52 9AN,1936,https://www.birminghammetropolitancol.ac.uk
106,South and City College Birmingham,College,5,West Midlands,Birmingham,B27 7YZ,1983,https://www.southandcitycollegebirmin.ac.uk
107,Solihull College,College,5,West Midlands,Birmingham,B42 8TT,1986,https://www.solihullcollege.ac.uk
108,Coventry College,College,5,West Midlands,Coventry,CV28 9UG,1984,https://www.coventrycollege.ac.uk
109,City of Wolverhampton College,College,5,West Midlands,Wolverhampton,WV11 5WZ,1942,https://www.cityofwolverhamptoncolleg.ac.uk
110,Stoke on Trent College,College,5,West Midlands,Stoke-on-Trent,ST12 4NJ,2003,https://www.stokeontrentcollege.ac.uk
111,Nottingham College,College,4,East Midlands,Nottingham,NG26 3AB,1931,https://www.nottinghamcollege.ac.uk
112,Leicester College,College,4,East Midlands,Leicester,LE61 2TS,2013,https://www.leicestercollege.ac.uk
113,Derby College,College,4,East Midlands,Derby,DE81 4RU,1951,https://www.derbycollege.ac.uk
114,Lincoln College,College,4,East Midlands,Lincoln,LN32 3AE,1999,https://www.lincolncollege.ac.uk
115,Northampton College,College,4,East Midlands,Northampton,NN55 4GW,1959,https://www.northamptoncollege.ac.uk
116,Cambridge Regional College,College,6,East of England,Cambridge,CB7 9JE,1958,https://www.cambridgeregionalcollege.ac.uk
117,City College Norwich,College,6,East of England,Norwich,NR18 8WX,1976,https://www.citycollegenorwich.ac.uk
118,Suffolk New College,College,6,East of England,Ipswich,IP41 8ZW,1954,https://www.suffolknewcollege.ac.uk
119,Peterborough College,College,6,East of England,Peterborough,PE71 8GU,1957,https://www.peterboroughcollege.ac.uk
120,Colchester Institute,College,6,East of England,Colchester,CO34 4LW,1962,https://www.colchesterinstitute.ac.uk
121,City and Islington College,College,7,Greater London,London,SW81 4LT,1909,https://www.cityandislingtoncollege.ac.uk
122,Westminster Kingsway College,College,7,Greater London,London,SW92 5JL,1942,https://www.westminsterkingswaycolleg.ac.uk
123,"Ealing, Hammersmith and West London College",College,7,Greater London,Ealing,W41 9DF,1919,https://www.ealinghammersmithandwestl.ac.uk
124,Croydon College,College,7,Greater London,Croydon,CR30 7FH,1908,https://www.croydoncollege.ac.uk
125,Hackney Community College,College,7,Greater London,Hackney,E54 7PX,1959,https://www.hackneycommunitycollege.ac.uk
126,Newham College,College,7,Greater London,London,SW54 1HS,1949,https://www.newhamcollege.ac.uk
127,Lambeth College,College,7,Greater London,London,SW99 1YR,1961,https://www.lambethcollege.ac.uk
128,Bromley College,College,7,Greater London,Bromley,BR1 6NR,2009,https://www.bromleycollege.ac.uk
129,Oxford City College,College,8,South East England,Oxford,OX54 9XZ,2014,https://www.oxfordcitycollege.ac.uk
130,Reading College,College,8,South East England,Reading,RG29 8JL,1955,https://www.readingcollege.ac.uk
131,Brighton MET College,College,8,South East England,Brighton,BN63 1RP,1985,https://www.brightonmetcollege.ac.uk
132,Southampton City College,College,8,South East England,Southampton,SO87 7GT,1916,https://www.southamptoncitycollege.ac.uk
133,Portsmouth College,College,8,South East England,Portsmouth,PO80 9AR,1975,https://www.portsmouthcollege.ac.uk
134,Canterbury College,College,8,South East England,Canterbury,CT73 1DS,1917,https://www.canterburycollege.ac.uk
135,Milton Keynes College,College,8,South East England,Milton Keynes,MK60 3BL,1948,https://www.miltonkeynescollege.ac.uk
136,Newcastle College,College,1,North East England,Newcastle upon Tyne,NE42 4TP,1943,https://www.newcastlecollege.ac.uk
137,Sunderland College,College,1,North East England,Sunderland,SR98 7LS,1932,https://www.sunderlandcollege.ac.uk
138,New College Durham,College,1,North East England,Durham,DH11 8AX,1906,https://www.newcollegedurham.ac.uk
139,Middlesbrough College,College,1,North East England,Middlesbrough,TS45 4DB,1996,https://www.middlesbroughcollege.ac.uk
140,Gateshead College,College,1,North East England,Gateshead,NE4 4HA,1979,https://www.gatesheadcollege.ac.uk
141,Edinburgh College,College,10,Scotland,Edinburgh,EH20 4FU,1985,https://www.edinburghcollege.ac.uk
142,Glasgow Clyde College,College,10,Scotland,Glasgow,G15 4TL,1998,https://www.glasgowclydecollege.ac.uk
143,North East Scotland College,College,10,Scotland,Aberdeen,AB48 3ZZ,1995,https://www.northeastscotlandcollege.ac.uk
144,Dundee and Angus College,College,10,Scotland,Dundee,DD92 2GN,1913,https://www.dundeeandanguscollege.ac.uk
145,Forth Valley College,College,10,Scotland,Stirling,FK75 1NY,1986,https://www.forthvalleycollege.ac.uk
146,Inverness College UHI,College,10,Scotland,Inverness,IV49 7HD,1975,https://www.invernesscollegeuhi.ac.uk
147,City of Glasgow College,College,10,Scotland,Glasgow,G89 4EN,2008,https://www.cityofglasgowcollege.ac.uk
148,Cardiff and Vale College,College,11,Wales,Cardiff,CF88 2YB,1944,https://www.cardiffandvalecollege.ac.uk
149,Gower College Swansea,College,11,Wales,Swansea,SA69 7QD,1964,https://www.gowercollegeswansea.ac.uk
150,Coleg Gwent,College,11,Wales,Newport,NP83 6AS,2005,https://www.coleggwent.ac.uk
151,Coleg Cambria,College,11,Wales,Wrexham,LL63 2SQ,1981,https://www.colegcambria.ac.uk
152,Coleg Sir Gar,College,11,Wales,Swansea,SA59 3SG,1993,https://www.colegsirgar.ac.uk
153,Belfast Metropolitan College,College,12,Northern Ireland,Belfast,BT67 5ZX,1999,https://www.belfastmetropolitancolleg.ac.uk
154,Northern Regional College,College,12,Northern Ireland,Lisburn,BT62 8SY,1934,https://www.northernregionalcollege.ac.uk
155,South Eastern Regional College,College,12,Northern Ireland,Newry,BT42 4DL,2012,https://www.southeasternregionalcolle.ac.uk
156,South West College,College,12,Northern Ireland,Armagh,BT58 4TY,1978,https://www.southwestcollege.ac.uk
157,St John's Church School,Primary School,3,Yorkshire and the Humber,York,YO42 3UH,1970,
158,Northfield Junior School,Primary School,4,East Midlands,Derby,DE72 1WH,1901,
159,Queen Elizabeth Community Primary School,Primary School,8,South East England,Southampton,SO89 8UT,1884,
160,Cedar Community Primary School,Primary School,7,Greater London,Croydon,CR40 6UX,2015,
161,The Manor Infant School,Primary School,2,North West England,Chester,CH46 8LN,1944,
162,Riverside Infant School,Primary School,8,South East England,Canterbury,CT16 9GH,1935,
163,Ashwood Junior School,Primary School,9,South West England,Exeter,EX13 4NJ,1972,
164,The Grove Catholic Primary School,Primary School,8,South East England,Oxford,OX36 1BX,1954,
165,Forestdale Church School,Primary School,9,South West England,Bath,BA14 1YN,2000,
166,Oakwood Primary School,Primary School,5,West Midlands,Wolverhampton,WV33 8ED,1982,
167,Forestdale Primary School,Primary School,5,West Midlands,Worcester,WR20 3YN,1901,
168,The Manor Primary Academy,Primary School,12,Northern Ireland,Belfast,BT78 4WR,1995,
169,Ashwood Primary Academy,Primary School,11,Wales,Newport,NP40 1ZE,1933,
170,St Andrew's Catholic Primary School,Primary School,3,Yorkshire and the Humber,York,YO31 3XD,1920,
171,Beechwood Church School,Primary School,7,Greater London,Ealing,W38 1JN,1952,
172,St Thomas' Community Primary School,Primary School,9,South West England,Plymouth,PL34 4SE,2019,
173,Northfield Catholic Primary School,Primary School,8,South East England,Reading,RG10 1GN,1953,
174,Brookfield Primary Academy,Primary School,5,West Midlands,Stoke-on-Trent,ST35 9XU,1992,
175,Birch Infant School,Primary School,7,Greater London,London,SW78 5AD,1938,
176,Ashwood Primary School,Primary School,1,North East England,Gateshead,NE98 5YB,1924,
177,St Andrew's Church School,Primary School,5,West Midlands,Stoke-on-Trent,ST45 7PP,1906,
178,Willow Church School,Primary School,10,Scotland,Aberdeen,AB37 7XB,1996,
179,Park C of E Primary School,Primary School,7,Greater London,Bromley,BR99 7WA,2018,
180,Pinewood Church School,Primary School,5,West Midlands,Birmingham,B81 8BH,1948,
181,Maple Church School,Primary School,6,East of England,Ipswich,IP16 1ZJ,1920,
182,St Andrew's Community Primary School,Primary School,2,North West England,Manchester,M15 8EF,2007,
183,King Edward Junior School,Primary School,11,Wales,Newport,NP54 8UJ,1996,
184,Riverside Catholic Primary School,Primary School,6,East of England,Peterborough,PE9 5SP,2009,
185,Southfield Junior School,Primary School,8,South East England,Oxford,OX76 8FT,2017,
186,Victoria Infant School,Primary School,5,West Midlands,Wolverhampton,WV25 4YR,1939,
187,St Peter's Infant School,Primary School,10,Scotland,Dundee,DD96 8RR,1918,
188,All Saints Infant School,Primary School,5,West Midlands,Birmingham,B13 8EW,1996,
189,Willow Catholic Primary School,Primary School,7,Greater London,Croydon,CR10 8LP,1981,
190,The Grove Primary Academy,Primary School,3,Yorkshire and the Humber,York,YO41 8XB,1897,
191,Southfield Community Primary School,Primary School,8,South East England,Canterbury,CT96 2SE,1905,
192,St John's Primary School,Primary School,5,West Midlands,Wolverhampton,WV42 1NQ,1975,
193,Town End Primary Academy,Primary School,5,West Midlands,Coventry,CV73 3GG,1900,
194,Pinewood Community Primary School,Primary School,3,Yorkshire and the Humber,Bradford,BD64 3JT,1945,
195,Victoria Junior School,Primary School,5,West Midlands,Birmingham,B87 9GD,1993,
196,Eastfield Church School,Primary School,1,North East England,Gateshead,NE39 4RU,1907,
197,Hawthorn Junior School,Primary School,8,South East England,Portsmouth,PO90 5AR,1950,
198,St Paul's Church School,Primary School,7,Greater London,Hackney,E37 4ZQ,1936,
199,Eastfield Catholic Primary School,Primary School,3,Yorkshire and the Humber,Hull,HU81 2BN,1992,
200,All Saints C of E Primary School,Primary School,7,Greater London,Bromley,BR38 6SG,1931,
201,Beech Junior School,Primary School,7,Greater London,Camden,NW22 5UN,1966,
202,St Thomas' Catholic Primary School,Primary School,4,East Midlands,Lincoln,LN97 4RX,1973,
203,St Mary's Junior School,Primary School,7,Greater London,Ealing,W69 2TQ,1947,
204,Beech C of E Primary School,Primary School,6,East of England,Luton,LU87 4UA,1963,
205,St Thomas' Church School,Primary School,11,Wales,Swansea,SA90 5SE,1915,
206,Brookfield Church School,Primary School,7,Greater London,London,SW15 2JX,1914,
207,Ashwood Catholic Primary School,Primary School,2,North West England,Preston,PR54 2UZ,1984,
208,Hillside Church School,Primary School,1,North East England,Durham,DH57 4QE,1974,
209,Hawthorn Primary School,Primary School,6,East of England,Luton,LU51 5HE,1996,
210,St Paul's Infant School,Primary School,7,Greater London,Croydon,CR32 3YH,1897,
211,Hillside Community Primary School,Primary School,10,Scotland,Stirling,FK30 6FZ,1880,
212,All Saints Junior School,Primary School,8,South East England,Reading,RG23 2AF,1883,
213,Westfield Infant School,Primary School,2,North West England,Bolton,BL3 3LB,1912,
214,Holy Trinity C of E Primary School,Primary School,9,South West England,Bournemouth,BH61 8QW,1907,
215,Pinewood Primary School,Primary School,5,West Midlands,Coventry,CV94 9NT,1887,
216,Cedar Primary Academy,Primary School,7,Greater London,Ealing,W88 2UT,1898,
217,Beechwood Catholic Primary School,Primary School,11,Wales,Newport,NP9 3LZ,2020,
218,Beechwood Junior School,Primary School,9,South West England,Plymouth,PL59 9ZS,1905,
219,The Manor Community Primary School,Primary School,4,East Midlands,Nottingham,NG56 8JS,1966,
220,Willow C of E Primary School,Primary School,10,Scotland,Dundee,DD41 7PL,1975,
221,St Thomas' C of E Primary School,Primary School,1,North East England,Middlesbrough,TS11 2SE,1975,
222,Holy Trinity Primary Academy,Primary School,4,East Midlands,Northampton,NN46 7BN,1959,
223,King Edward Community Primary School,Primary School,2,North West England,Blackpool,FY20 8JE,1969,
224,Holy Trinity Junior School,Primary School,10,Scotland,Aberdeen,AB74 4SX,1886,
225,Northfield Primary School,Primary School,3,Yorkshire and the Humber,Doncaster,DN24 5NP,1969,
226,Sacred Heart Primary Academy,Primary School,7,Greater London,Hackney,E9 3AD,2015,
227,Greenfield Infant School,Primary School,8,South East England,Southampton,SO40 6YZ,1901,
228,Greenfield Primary School,Primary School,10,Scotland,Glasgow,G87 2LT,1988,
229,Willow Junior School,Primary School,5,West Midlands,Stoke-on-Trent,ST28 9EQ,1990,
230,Ashwood Church School,Primary School,7,Greater London,Westminster,SW68 5BJ,1981,
231,St Mary's Community Primary School,Primary School,12,Northern Ireland,Belfast,BT39 4FL,1954,
232,Queen Elizabeth Primary Academy,Primary School,2,North West England,Manchester,M23 3RX,1938,
233,St Thomas' Primary Academy,Primary School,5,West Midlands,Wolverhampton,WV95 1SA,1997,
234,The Avenue Primary Academy,Primary School,11,Wales,Newport,NP74 7SN,1909,
235,Greenfield Church School,Primary School,2,North West England,Preston,PR89 6DS,1907,
236,Cedar C of E Primary School,Primary School,8,South East England,Portsmouth,PO51 5PJ,1965,
237,King Edward C of E Primary School,Primary School,4,East Midlands,Nottingham,NG68 9HQ,1969,
238,Sacred Heart Community Primary School,Primary School,9,South West England,Gloucester,GL14 3LH,1924,
239,Victoria Church School,Primary School,3,Yorkshire and the Humber,Doncaster,DN88 6PF,1992,
240,Forestdale Junior School,Primary School,7,Greater London,Ealing,W36 1QW,1898,
241,St Peter's Primary School,Primary School,2,North West England,Lancaster,LA48 5DD,2009,
242,The Manor Primary School,Primary School,2,North West England,Blackpool,FY58 4PZ,2001,
243,Maple C of E Primary School,Primary School,5,West Midlands,Birmingham,B44 2WG,1890,
244,Maple Catholic Primary School,Primary School,8,South East England,Southampton,SO47 6NR,1984,
245,St Thomas' Infant School,Primary School,4,East Midlands,Northampton,NN13 9RN,1944,
246,Highfield C of E Primary School,Primary School,9,South West England,Gloucester,GL75 3QN,1980,
247,St Andrew's Junior School,Primary School,7,Greater London,Westminster,SW72 7PF,2014,
248,St John's Infant School,Primary School,7,Greater London,Westminster,SW40 3HP,2004,
249,Sacred Heart C of E Primary School,Primary School,8,South East England,Reading,RG38 2WX,2014,
250,Pinewood Catholic Primary School,Primary School,7,Greater London,Bromley,BR77 7FG,1926,
251,St Peter's Primary Academy,Primary School,10,Scotland,Stirling,FK47 4TZ,1952,
252,Meadow Community Primary School,Primary School,4,East Midlands,Lincoln,LN40 8HQ,1992,
253,Elm Primary Academy,Primary School,5,West Midlands,Wolverhampton,WV21 4ZF,1944,
254,Town End C of E Primary School,Primary School,7,Greater London,Ealing,W37 2GL,1995,
255,Birch C of E Primary School,Primary School,11,Wales,Swansea,SA29 8QA,1986,
256,Beech Community Primary School,Primary School,7,Greater London,Camden,NW50 2QJ,1887,
257,Highfield Catholic Primary School,Primary School,2,North West England,Manchester,M18 1NU,1915,
258,Maple Primary School,Primary School,4,East Midlands,Lincoln,LN11 1LH,1918,
259,Beechwood Primary Academy,Primary School,6,East of England,Luton,LU15 5JN,1911,
260,Queen Elizabeth Primary School,Primary School,7,Greater London,Ealing,W81 9YJ,1916,
261,Pinewood Infant School,Primary School,8,South East England,Oxford,OX31 7GD,2014,
262,Town End Primary School,Primary School,12,Northern Ireland,Belfast,BT50 8BR,1975,
263,Hawthorn C of E Primary School,Primary School,8,South East England,Oxford,OX45 4EY,1965,
264,The Grove Infant School,Primary School,7,Greater London,Bromley,BR83 3TU,1926,
265,Victoria Primary School,Primary School,4,East Midlands,Nottingham,NG38 4BH,1890,
266,King Edward Primary Academy,Primary School,2,North West England,Preston,PR70 8LB,1928,
267,Northfield C of E Primary School,Primary School,8,South East England,Milton Keynes,MK48 7RT,1978,
268,Queen Elizabeth Church School,Primary School,2,North West England,Liverpool,L48 9LD,1988,
269,Oakwood Junior School,Primary School,7,Greater London,Camden,NW42 2DP,1955,
270,Birch Catholic Primary School,Primary School,8,South East England,Portsmouth,PO89 8QT,1890,
271,Pinewood Primary Academy,Primary School,9,South West England,Exeter,EX36 1DR,1973,
272,Sacred Heart Church School,Primary School,6,East of England,Luton,LU5 3DJ,1973,
273,St Peter's Catholic Primary School,Primary School,2,North West England,Blackpool,FY87 8QQ,1993,
274,Cedar Infant School,Primary School,4,East Midlands,Northampton,NN84 5JE,1886,
275,The Manor C of E Primary School,Primary School,9,South West England,Plymouth,PL34 5TH,1953,
276,Riverside C of E Primary School,Primary School,9,South West England,Plymouth,PL18 2TG,1993,
277,The Manor Junior School,Primary School,12,Northern Ireland,Lisburn,BT39 3GQ,2010,
278,All Saints Community Primary School,Primary School,8,South East England,Reading,RG64 1QX,1974,
279,St Thomas' Junior School,Primary School,5,West Midlands,Worcester,WR51 8WS,1984,
280,All Saints Catholic Primary School,Primary School,10,Scotland,Edinburgh,EH99 3SW,1894,
281,Sacred Heart Junior School,Primary School,10,Scotland,Stirling,FK22 3PJ,1968,
282,Southfield C of E Primary School,Primary School,1,North East England,Gateshead,NE33 4XL,1912,
283,The Grove C of E Primary School,Primary School,3,Yorkshire and the Humber,Hull,HU65 3YY,1919,
